report_type,baseline_server_id,server_id,server_name,suite_name,scenario_name,point_label,method,success,mean_ms,p95_ms,non_empty_rate,result_metric_name,result_metric_label,result_metric_value,result_metric_delta,validation_passed,validation_failure_count
benchmark,pyright,pyright,Pyright,data_science,,dataframe completion,textDocument/completion,True,6.684079999104142,12.15217998251319,1.0,completion_item_count,Completions found,203.0,0.0,True,0
benchmark,pyright,ty,Ty,data_science,,dataframe completion,textDocument/completion,True,2.939040004275739,4.791379999369383,1.0,completion_item_count,Completions found,226.0,23.0,True,0
benchmark,pyright,pyrefly,Pyrefly,data_science,,dataframe completion,textDocument/completion,True,0.7497800048440695,0.8230800158344209,1.0,completion_item_count,Completions found,252.0,49.0,True,0
benchmark,pyright,pyright,Pyright,data_science,,dataframe describe hover,textDocument/hover,True,1.6725600115023553,2.1341200219467282,1.0,hover_text_char_count,Hover length,4019.0,0.0,True,0
benchmark,pyright,ty,Ty,data_science,,dataframe describe hover,textDocument/hover,True,0.39030000916682184,0.45184000628069043,1.0,hover_text_char_count,Hover length,3908.0,-111.0,True,0
benchmark,pyright,pyrefly,Pyrefly,data_science,,dataframe describe hover,textDocument/hover,True,9.876480005914345,36.82566001079976,1.0,hover_text_char_count,Hover length,9154.0,5135.0,True,0
benchmark,pyright,pyright,Pyright,data_science,,summarize definition,textDocument/definition,True,0.5747799994423985,0.6661399966105819,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,ty,Ty,data_science,,summarize definition,textDocument/definition,True,0.2692599955480546,0.2812799939420074,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyrefly,Pyrefly,data_science,,summarize definition,textDocument/definition,True,0.3443600086029619,0.3931600134819746,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyright,Pyright,django,,queryset completion,textDocument/completion,True,8.345719997305423,14.835479989415033,1.0,completion_item_count,Completions found,19.8,0.0,True,0
benchmark,pyright,ty,Ty,django,,queryset completion,textDocument/completion,True,17.352379992371425,24.75155999418348,1.0,completion_item_count,Completions found,237.0,217.2,True,0
benchmark,pyright,pyrefly,Pyrefly,django,,queryset completion,textDocument/completion,True,0.5809599999338388,0.6957000121474266,1.0,completion_item_count,Completions found,38.0,18.2,True,0
benchmark,pyright,pyright,Pyright,django,,queryset filter hover,textDocument/hover,True,0.676360004581511,0.8410400128923357,1.0,hover_text_char_count,Hover length,57.0,0.0,True,0
benchmark,pyright,ty,Ty,django,,queryset filter hover,textDocument/hover,True,0.31851999810896814,0.34320001141168177,1.0,hover_text_char_count,Hover length,46.0,-11.0,True,0
benchmark,pyright,pyrefly,Pyrefly,django,,queryset filter hover,textDocument/hover,True,0.46209999127313495,0.5329599953256547,1.0,hover_text_char_count,Hover length,324.0,267.0,True,0
benchmark,pyright,pyright,Pyright,django,,model definition,textDocument/definition,True,0.5739200045354664,0.78940000385046,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,ty,Ty,django,,model definition,textDocument/definition,True,0.3021799959242344,0.32697999849915504,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyrefly,Pyrefly,django,,model definition,textDocument/definition,True,0.5611799890175462,0.8564599906094372,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyright,Pyright,pandas,,report dataframe completion,textDocument/completion,True,84.30259999586269,277.39120000042016,1.0,completion_item_count,Completions found,277.8,0.0,True,0
benchmark,pyright,ty,Ty,pandas,,report dataframe completion,textDocument/completion,True,31.983520003268495,39.3484000058379,1.0,completion_item_count,Completions found,1000.0,722.2,True,0
benchmark,pyright,pyrefly,Pyrefly,pandas,,report dataframe completion,textDocument/completion,True,0.4509999940637499,0.47625998267903924,1.0,completion_item_count,Completions found,39.0,-238.8,True,0
benchmark,pyright,pyright,Pyright,pandas,,dataframe groupby hover,textDocument/hover,True,0.8170200046151876,0.892100011697039,1.0,hover_text_char_count,Hover length,350.0,0.0,True,0
benchmark,pyright,ty,Ty,pandas,,dataframe groupby hover,textDocument/hover,True,0.3466599911917001,0.3798999823629856,1.0,hover_text_char_count,Hover length,308.0,-42.0,True,0
benchmark,pyright,pyrefly,Pyrefly,pandas,,dataframe groupby hover,textDocument/hover,True,10.967420012457296,31.328240013681345,1.0,hover_text_char_count,Hover length,3577.0,3227.0,True,0
benchmark,pyright,pyright,Pyright,pandas,,build report definition,textDocument/definition,True,0.5243000050541013,0.6149200024083257,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,ty,Ty,pandas,,build report definition,textDocument/definition,True,0.357220001751557,0.4123200022149831,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyrefly,Pyrefly,pandas,,build report definition,textDocument/definition,True,0.3702599962707609,0.3880399919580668,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyright,Pyright,sqlalchemy,,query completion,textDocument/completion,True,6.350460002431646,11.37933999998495,1.0,completion_item_count,Completions found,1.0,0.0,True,0
benchmark,pyright,ty,Ty,sqlalchemy,,query completion,textDocument/completion,True,9.178640000754967,15.853099990636109,1.0,completion_item_count,Completions found,1.0,0.0,True,0
benchmark,pyright,pyrefly,Pyrefly,sqlalchemy,,query completion,textDocument/completion,True,1.4026799995917827,3.5082400136161587,1.0,completion_item_count,Completions found,38.0,37.0,True,0
benchmark,pyright,pyright,Pyright,sqlalchemy,,sessionmaker hover,textDocument/hover,True,2.2822199971415102,4.662359994836151,1.0,hover_text_char_count,Hover length,10572.0,0.0,True,0
